Tipo;Notícia;Link
Principal;"Presidente da Caixa está com Covid; é o 4º da comitiva de Bolsonaro em NY";"https://g1.globo.com/politica/noticia/2021/09/26/pedro-guimaraes-anuncia-que-teste-para-covid-19-deu-positivo.ghtml"
Principal;"Bolsonaro e Michelle anunciam resultado negativo para Covid";"https://g1.globo.com/politica/noticia/2021/09/26/bolsonaro-faz-novo-teste-para-covid-19-e-resultado-e-negativo-diz-planalto.ghtml"
Principal;"Média móvel de mortes por Covid segue acima de 500 pelo 13º dia";"https://g1.globo.com/saude/coronavirus/noticia/2021/09/26/brasil-ultrapassa-594484-mil-mortes-por-covid-media-fica-acima-de-500-pelo-13o-dia.ghtml"
Principal;"Nuvem gigante de poeira encobre Franca, em SP; veja vídeos e fotos";"https://g1.globo.com/sp/ribeirao-preto-franca/noticia/2021/09/26/moradora-de-franca-sp-registra-nuvem-gigante-de-poeira-ao-lado-do-apartamento-nunca-tinha-visto-isso.ghtml"
Principal;"Cadeirada em assaltante, lava destruidora e mais vídeos";"https://g1.globo.com/playlist/videos-para-assistir-agora.ghtml"
Principal;"Social-democratas e partido de Merkel empatam em boca de urna";"https://g1.globo.com/mundo/noticia/2021/09/26/boca-de-urna-eleicao-alemanha.ghtml"
Principal;"Escolha do novo chanceler ainda pode levar semanas; entenda";"https://g1.globo.com/mundo/noticia/2021/09/22/eleicoes-na-alemanha-entenda-como-os-alemaes-escolhem-o-novo-chanceler.ghtml"
Principal;"Brasileiros são achados em caminhão na fronteira dos EUA";"https://g1.globo.com/mundo/noticia/2021/09/26/imigrantes-ilegais-brasileiros-sao-achados-em-carroceria-de-caminhao-na-fronteira-dos-eua.ghtml"
Principal;"Fãs e amigos de Gabby Petito homenageiam influenciadora em funeral";"https://g1.globo.com/mundo/noticia/2021/09/26/gabby-petito-funeral-da-influenciadora-acontece-neste-domingo-em-nova-york.ghtml"
Principal;"O que são os 'carros voadores' disputados por Embraer, Gol e Azul";"https://g1.globo.com/inovacao/noticia/2021/09/26/corrida-pelo-carro-voador-o-que-e-o-veiculo-que-embraer-gol-e-azul-querem-nos-ceus-do-brasil.ghtml"
